Kabupaten/Kota;APS 7-12 ;APS 13-15;APS 16-18;APS 19-23;RLS
Kab. Bogor;98,77;96,09;62,23;30,08;8,37
Kab. Sukabumi;99,49;95,4;69,3;21,61;7,33
Kab. Cianjur;99,77;89,14;63;11,62;7,22
Kab. Bandung;99,94;93,84;64,23;24,33;9,1
Kab. Garut;99,59;95,77;67,75;13,42;7,84
Kab. Tasikmalaya;99,79;95,94;70,09;19,46;7,96
Kab. Ciamis;99,49;98,02;70,31;48,79;8,09
Kab. Kuningan;99,83;94,74;69,13;16,86;7,89
Kab. Cirebon;99,67;95,2;64,86;20,36;7,64
Kab. Majalengka;98,52;92,24;75,37;14,6;7,52
Kab. Sumedang;99,79;94,11;75,33;24,1;8,73
Kab. Indramayu;99,17;93,66;71,77;10,45;6,94
Kab. Subang;98,87;93,31;69,61;13,97;7,45
Kab. Purwakarta;99,83;98,52;54,78;20,03;8,13
Kab. Karawang;99,79;94,58;63,36;18,53;8,04
Kab. Bekasi;98,9;98,73;72,03;31,34;9,57
Kab. Bandung Barat;99,33;96,85;63,04;14,21;8,23
Kab. Pangandaran;99,49;92,59;72,32;15,03;8,04
Kota Bogor;99,9;95,32;63,5;35,77;10,64
Kota Sukabumi ;99,89;98,12;78,73;31,79;10,37
Kota Bandung ;99,11;97,86;69,66;43,28;11,06
Kota Cirebon ;99,25;93,05;68,22;22,73;10,37
Kota Bekasi ;99,8;98,11;82,82;38,65;11,66
Kota Depok ;99,69;97,56;78,52;42,2;11,58
Kota Cimahi ;99,45;98,88;79,15;33,3;11,39
KotaTasikmalaya ;98,72;97,02;73,15;25;9,54
Kota Banjar ;99,77;97,02;67,98;19,55;8,79
